year,month,month_end_date,previous_month_close,month_end_close,monthly_return_pct,is_complete_month
2024,6,2024-06-28,5123.35986328125,5472.259765625,6.809982348581256,True
2024,7,2024-07-31,5472.259765625,5233.18017578125,-4.368937149979102,True
2024,8,2024-08-30,5233.18017578125,5158.81982421875,-1.4209400224099666,True
2024,9,2024-09-30,5158.81982421875,5173.06005859375,0.27603666846722774,True
2024,10,2024-10-31,5173.06005859375,4946.75,-4.374781193923938,True
2024,11,2024-11-29,4946.75,4926.56005859375,-0.40814557853641187,True
2024,12,2024-12-31,4926.56005859375,4979.93017578125,1.0833140477888303,True
2025,1,2025-01-31,4979.93017578125,5015.85009765625,0.7212936849935847,True
2025,2,2025-02-28,5015.85009765625,4766.75,-4.966258815682045,True
2025,3,2025-03-31,4766.75,4270.43017578125,-10.412121974484712,True
2025,4,2025-04-30,4270.43017578125,4230.08984375,-0.9446432881640487,True
2025,5,2025-05-30,4230.08984375,4758.06005859375,12.481300264197248,True
2025,6,2025-06-30,4758.06005859375,5546.5400390625,16.571459182080737,True
2025,7,2025-07-31,5546.5400390625,5607.919921875,1.106633728057882,True
2025,8,2025-08-29,5607.919921875,5668.93994140625,1.0881043306846694,True
2025,9,2025-09-30,5668.93994140625,6369.81982421875,12.363508699276116,True
2025,10,2025-10-31,6369.81982421875,7228.66015625,13.482961146967543,True
2025,11,2025-11-28,7228.66015625,7025.14990234375,-2.815324686834142,True
2025,12,2025-12-31,7025.14990234375,7083.1298828125,0.8253201892447493,True
2026,1,2026-01-30,7083.1298828125,7998.47021484375,12.922822921154676,True
2026,2,2026-02-27,7998.47021484375,8098.3701171875,1.2489876146360324,True
2026,3,2026-03-31,8098.3701171875,7588.2001953125,-6.299661715784588,True
2026,4,2026-04-30,7588.2001953125,10503.7001953125,38.42149554516246,True
2026,5,2026-05-29,10503.7001953125,12829.3798828125,22.14152769266857,True
2026,6,2026-06-30,12829.3798828125,14246.9599609375,11.049482446334991,True
2026,7,2026-07-31,14246.9599609375,11311.080078125,-20.607062074029358,True
2026,8,2026-08-31,11311.080078125,11535.0498046875,1.9800914237681377,True
2026,9,2026-09-03,11535.0498046875,11352.12890625,-1.5857833432428414,False
